,Zoological Records.txt
journal,1481
sci,1164
nat,781
bull,753
bulletin,730
univ,715
biol,712
res,711
research,685
rep,630
acta,601
soc,597
geol,556
ser,518
science,510
report,509
mus,478
university,440
society,426
inst,409
fish,390
sciences,377
natural,336
entomol,335
rev,310
museum,303
publ,303
series,296
agric,285
hist,284
zool,279
biology,267
la,260
bird,253
nauk,241
med,218
fisheries,209
des,209
news,205
tech,204
international,203
mar,201
proceedings,201
stud,197
spec,195
institute,194
der,190
et,188
history,186
ecol,184
special,182
mem,181
environ,179
proc,177
publication,176
di,176
marine,175
pap,175
vet,174
wildlife,174
int,174
technical,174
agricultural,173
new,173
newsl,167
plant,166
wildl,166
biological,165
newsletter,165
geological,164
annu,157
monogr,155
environmental,154
natl,151
annual,150
national,148
akad,146
cell,144
ann,140
und,137
revista,137
fuer,135
survey,133
cienc,133
conserv,133
del,132
acad,132
surv,131
fauna,130
dep,130
studies,126
cent,121
suppl,120
dev,119
group,118
ecology,118
occas,118
occasional,118
american,118
department,115
assoc,114
fac,113
agriculture,113
serie,112
anim,110
indian,108
south,108
geology,108
ciencias,107
reports,106
veterinary,106
aust,106
conservation,106
bol,106
birds,105
du,101
animal,101
papers,97
faculty,96
scientific,96
exp,95
association,93
health,93
north,93
paleontol,92
serv,91
zoology,90
ornithol,89
field,89
australian,89
trop,88
folia,88
physiol,88
tokyo,88
mitt,88
mitteilungen,87
inf,86
applied,85
service,84
museo,84
tropical,84
entomological,84
entomology,83
societe,83
adv,82
academy,81
supplement,81
club,81
xuebao,81
life,81
stn,80
nature,80
medical,79
sea,79
world,78
game,78
appl,77
arch,77
akademii,77
annales,76
paper,76
review,76
resour,76
medicine,75
earth,75
mol,74
molecular,74
advances,74
notes,73
british,73
station,73
biochem,72
instituto,71
resources,70
rec,70
recent,70
memoirs,69
boletin,67
transactions,67
evol,67
nac,67
della,66
bot,66
atti,65
physiology,65
state,65
lab,64
technol,64
contrib,63
nacional,63
experimental,63
zealand,62
trust,62
universitatis,61
biochemistry,61
insect,61
naturalist,60
african,60
publications,59
afr,59
management,58
royal,58
palaeontol,58
monographs,58
oceanogr,58
scienze,58
biologia,57
ges,57
west,57
microbiol,57
division,57
genet,56
china,56
ssr,56
kexue,56
br,56
chem,55
geologie,55
revue,55
trans,55
gesellschaft,55
water,55
environment,55
comm,54
seriya,54
india,53
canadian,53
conf,53
tr,53
herpetol,53
jpn,53
izvestiya,52
syst,52
centre,51
conference,51
australia,51
forestry,51
study,51
div,51
technology,51
development,50
geologica,50
daxue,50
symp,50
educ,50
izv,50
sin,49
commission,49
contributions,49
behav,49
insects,49
da,49
sinica,48
information,48
taiwan,48
sao,48
monograph,47
mineral,47
archives,47
genetics,47
aquatic,47
zeitschrift,46
paris,46
parasitol,46
forest,46
european,45
hokkaido,45
prog,45
coll,45
college,44
zur,44
japanese,44
progress,44
ber,44
developments,44
biologica,44
western,44
paulo,44
species,43
zoological,43
misc,43
experiment,43
microbiology,43
education,43
center,43
aus,42
ital,42
laboratory,42
trudy,42
nauki,42
zoologica,42
comparative,42
ver,42
pacific,42
entomologica,41
beitr,41
anthropol,41
pathol,41
reviews,41
annals,41
bras,40
east,40
sect,40
control,40
reg,40
prot,40
boletim,40
beitraege,40
abh,39
ocean,39
pol,39
naturales,39
gen,39
great,38
hung,38
geogr,38
invest,38
abhandlungen,38
muz,38
florida,38
aquat,38
scientiarum,38
van,38
nova,38
general,37
mex,37
archaeol,37
berichte,37
vestn,37
freshwater,37
malacol,37
vestnik,37
lett,37
doc,37
evolution,37
collect,37
dem,36
historia,36
fr,36
sssr,36
eng,36
biologie,36
council,36
ecological,36
pac,36
terra,35
asian,35
zoo,35
comp,35
issue,35
museu,35
symposium,35
union,35
miner,34
manage,34
africa,34
london,34
food,34
records,34
forum,34
dis,34
chinese,34
zoologia,34
trav,34
ban,34
eur,34
japan,34
prir,34
entomologia,34
counc,34
immunol,33
fla,33
zhurnal,33
york,33
veterinaria,33
parasitology,33
korean,33
linstitut,33
chemistry,32
en,32
avian,32
dhistoire,32
ziran,32
ringing,32
travaux,32
zh,32
lond,32
nato,32
soil,32
pest,32
protection,32
institut,31
alsk,31
canada,31
land,31
natwiss,31
instituta,31
natura,31
manag,31
jahrb,31
universidad,31
alaska,31
mexico,30
curr,30
flora,30
note,30
commun,30
current,30
aquaculture,30
ed,30
uforest,30
toxicology,30
dokl,30
memoires,30
noaa,30
pathology,30
argent,29
miscellaneous,29
wales,29
california,29
ii,29
investig,29
naturale,29
ornithological,29
doklady,29
naturelle,29
naturelles,29
kagoshima,29
ind,29
handb,29
geologia,29
anat,29
parks,28
si,28
sociedad,28
boll,28
calif,28
storia,28
stor,28
cat,28
itogi,28
dergisi,28
derg,28
immunology,28
bollettino,28
engineering,28
nongye,28
pr,28
toxicol,27
fed,27
belg,27
berl,27
academia,27
biophys,27
jahrbuch,27
na,27
wild,27
congr,26
kyushu,26
espec,26
hungarica,26
osaka,26
vereins,26
reihe,26
section,26
cellular,26
naturalists,26
medicina,26
brasileira,26
voor,26
prace,26
polar,25
ornitol,25
oxf,25
guide,25
math,25
kansas,25
evolutionary,25
wiss,25
hiroshima,25
mag,25
akademie,25
museums,25
herpetological,25
lepid,25
hum,25
developmental,25
geosci,24
scientifique,24
scientifiques,24
civ,24
organization,24
scheme,24
biodivers,24
universiteta,24
fao,24
societa,24
limnol,24
salmon,24
nagoya,24
methods,24
tec,24
faune,24
systematic,23
palaeontologie,23
letters,23
fis,23
entomologische,23
brain,23
circ,23
natkd,23
oceanography,23
man,23
geoscience,23
prod,23
program,23
kans,23
human,22
quat,22
